,Atlanta Dream,Chicago Sky,Connecticut Sun,Indiana Fever,New York Liberty,Washington Mystics,Dallas Wings,Las Vegas Aces,Los Angeles Sparks,Minnesota Lynx,Phoenix Mercury,Seattle Storm
Atlanta Dream,0.0,592.6390576068342,866.0344028854965,432.93930229711697,753.7185434650227,549.4301402962956,733.6300778182592,1742.3713905801656,1931.3164340056842,912.6186988980184,1585.3165748367421,2180.6130901027263
Chicago Sky,592.6390576068343,0.0,800.8868660363338,163.46718140200136,712.5194805938987,596.5317129185804,816.9707743483286,1525.6072021904436,1743.9910623328608,356.4854753997569,1451.6597842475796,1735.05462368428
Connecticut Sun,866.0344028854965,800.8868660363337,0.0,746.3248625327717,112.9632513068779,316.6997098186419,1498.4881813678167,2325.9432076055064,2543.1275804045267,1089.9854506700271,2240.609716946288,2466.225498650317
Indiana Fever,432.9393022971173,163.4671814020014,746.3248625327717,0.0,645.1784814434727,493.79729319620856,779.0930547631464,1594.8549881496958,1807.4045131479427,511.44414729293305,1496.1882673743362,1869.0438813107821
New York Liberty,753.7185434650227,712.5194805938985,112.96325130687796,645.1784814434726,0.0,204.302332975968,1388.7912507827039,2233.329105775251,2448.7937081830646,1019.2101180798098,2141.3246874565016,2405.216324040126
Washington Mystics,549.4301402962953,596.5317129185804,316.69970981864196,493.79729319620856,204.302332975968,0.0,1200.9149235672494,2087.5609434226585,2298.3663159038733,936.0561547485406,1979.9444224806148,2326.7878072656827
Dallas Wings,733.6300778182592,816.9707743483286,1498.4881813678164,779.0930547631465,1388.7912507827036,1200.9149235672496,0.0,1054.247258449984,1221.8918346968605,870.7890239344005,866.8714673180441,1670.733831740817
Las Vegas Aces,1742.3713905801656,1525.6072021904436,2325.9432076055064,1594.8549881496956,2233.3291057752504,2087.5609434226585,1054.247258449984,0.0,224.736115423117,1297.962475390139,253.94568125241494,877.2002532799073
Los Angeles Sparks,1931.3164340056844,1743.9910623328608,2543.1275804045267,1807.4045131479431,2448.793708183065,2298.366315903874,1221.8918346968605,224.736115423117,0.0,1522.4092680189167,358.2947326151043,961.8684633372565
Minnesota Lynx,912.6186988980184,356.48547539975675,1089.9854506700274,511.4441472929329,1019.2101180798098,936.0561547485406,870.7890239344009,1297.9624753901385,1522.4092680189167,0.0,1278.096397205993,1391.6587983021345
Phoenix Mercury,1585.3165748367421,1451.6597842475796,2240.609716946288,1496.1882673743362,2141.324687456501,1979.9444224806148,866.8714673180441,253.94568125241508,358.29473261510435,1278.096397205993,0.0,1116.1738309586597
Seattle Storm,2180.613090102726,1735.05462368428,2466.225498650317,1869.0438813107821,2405.216324040126,2326.7878072656817,1670.733831740817,877.2002532799074,961.8684633372565,1391.6587983021345,1116.1738309586597,0.0
